,block,TN,TP,FP,FN,ACC,SENS,SPEC,Balanced_ACC,RT
0,main,113.0,24.0,13.0,12.0,84.57,66.67,89.68,78.18,0.8000434205837337
1,control,126.0,36.0,0.0,0.0,100.0,100.0,100.0,100.0,0.5825683217218385
