,block,TN,TP,FP,FN,ACC,SENS,SPEC,Balanced_ACC,RT
0,main,106.0,30.0,20.0,6.0,83.95,83.33,84.13,83.73,0.5023578407335056
1,control,126.0,36.0,0.0,0.0,100.0,100.0,100.0,100.0,0.343757642443557
