,block,TN,TP,FP,FN,ACC,SENS,SPEC,Balanced_ACC,RT
0,main,135.0,36.0,5.0,4.0,95.0,90.0,96.43,93.22,0.7868725252200319
1,control,140.0,40.0,0.0,0.0,100.0,100.0,100.0,100.0,0.6723061472526751
