,rt,block
0,0.321410131000448,control
1,0.3741301089976332,control
2,0.33410451699455734,control
3,0.3497634110026411,control
4,0.3358507829980226,control
5,0.3629933609990985,control
6,0.3260508999956073,control
7,0.4053245320028509,control
8,0.25769847499759635,control
9,0.28965550100110704,control
10,0.34320539500185987,control
11,0.35241506199963624,control
12,0.5452679919981165,main
13,0.42587403600191465,main
14,0.4605734080032562,main
15,0.44888582899875473,main
16,0.39497152200056007,main
17,0.8640787879994605,main
18,0.6174924919978366,main
19,0.49670994299958693,main
20,0.33596483300061664,control
21,0.3629944490021444,control
22,0.3887154659969383,control
23,0.29389875500055496,control
24,0.3802273180044722,main
25,0.6950751339973067,main
26,0.6331724030023906,main
27,0.5003671399972518,main
28,0.4934370670016506,main
29,0.575653414001863,main
30,0.39781410500290804,main
31,0.4347125439962838,main
32,0.38717711100616725,main
33,0.5824590339980205,main
34,0.8161166090067127,main
35,0.48388059699937,main
36,0.4514316950007924,main
37,0.4523434950024239,main
38,0.4064247080023051,main
39,0.4197796350053977,main
40,0.530149350001011,main
41,0.4996755110041704,main
42,0.4973995410036878,main
43,0.39301183199859224,control
44,0.40927345100499224,control
45,0.3400376569989021,control
46,0.33634375199471833,control
47,0.41028980299597606,main
48,0.6024316309994902,main
49,0.5630443940026453,main
50,0.49344301800010726,main
51,0.35198220500024036,control
52,0.3924241360000451,control
53,0.3371526460032328,control
54,0.32906591100618243,control
55,0.4200515839984291,main
56,0.49903135399654275,main
57,0.5012538600058178,main
58,0.48562675999710336,main
59,0.3312470119999489,control
60,0.3425024609969114,control
61,0.5040764549994492,control
62,0.38782757599983597,control
63,0.36447244599548867,control
64,0.34611929200036684,control
65,0.3014321500013466,control
66,0.3104550339994603,control
67,0.37616980200255057,control
68,0.319813989000977,control
69,0.30041276500560343,control
70,0.30112326700327685,control
