,rt,block
0,0.3589587879978353,control
1,0.3088878790003946,control
2,0.3470718740063603,control
3,0.3502959799952805,control
4,0.3700778240017826,main
5,0.4251179519997095,main
6,0.3427301580013591,main
7,0.4499931070022285,main
8,0.4197119300006307,main
9,0.49172411100153113,main
10,0.38909349599998677,main
11,0.38660622799943667,main
12,0.31342806499742437,control
13,0.30941917000018293,control
14,0.3201766130005126,control
15,0.32399976199667435,control
16,0.34788559500157135,main
17,0.5078686550041311,main
18,0.38265523099835264,main
19,0.4742207859962946,main
20,0.571120284999779,main
21,0.536403568003152,main
22,0.40815285200369544,main
23,0.4745178540033521,main
24,0.5631285720010055,main
25,0.44293941000069026,main
26,0.5521256689971779,main
27,0.5401837769968552,main
28,0.5751902349948068,main
29,0.4652429510024376,main
30,0.48549024800013285,main
31,0.44928443200478796,main
32,0.6112831200007349,main
33,0.6559506999983569,main
34,0.446102695997979,main
35,0.5395501689999946,main
36,0.8402197819959838,main
37,0.5794742220023181,main
38,0.5364326139970217,main
39,0.4453072100004647,main
40,0.3354192099941429,control
41,0.36336348099575844,control
42,0.38530425100179855,control
43,0.3414731910015689,control
44,0.4275445099992794,control
45,0.404901134003012,control
46,0.34548833000008017,control
47,0.3257493479977711,control
48,0.3455795100016985,control
49,0.3788628680049442,control
50,0.3511764970025979,control
51,0.34383532399806427,control
52,0.43926855199970305,main
53,0.4151704579999205,main
54,0.5378054510001675,main
55,0.5925539460004074,main
56,0.32477954600472003,control
57,0.3171876870037522,control
58,0.370093988996814,control
59,0.3472863420029171,control
60,0.32953555200219853,control
61,0.3242041209960007,control
62,0.32596625899896026,control
63,0.38968367600318743,control
64,0.40676755100139417,control
65,0.39489343400055077,control
66,0.3585651549947215,control
67,0.4116360249972786,control
68,0.3822964709979715,control
69,0.32190934799291426,control
70,0.3244314539988409,control
71,0.34336499499477213,control
