,block,TN,TP,FP,FN,ACC,SENS,SPEC,Balanced_ACC,RT
0,main,121.0,36.0,5.0,0.0,96.91,100.0,96.03,98.02,0.4914051068335539
1,control,126.0,36.0,0.0,0.0,100.0,100.0,100.0,100.0,0.3514871497217327
