9.0652 	EXP 	PresentedLine1: autoDraw = True
9.8254 	EXP 	PresentedLine1: autoDraw = False
9.8254 	EXP 	FixDot2: autoDraw = True
10.0126 	EXP 	New trial (rep=0, index=4): {'image': './images_eeg/Sphere_CCW-3_BG-grey_stim-white.png'}
10.0648 	EXP 	Vertical: autoDraw = False
10.0648 	EXP 	PresentedLine1: autoDraw = False
10.0648 	EXP 	FixDot2: autoDraw = False
10.0648 	EXP 	PresentedLine1: image = './images_eeg/Sphere_CCW-3_BG-grey_stim-white.png'
10.0791 	EXP 	PresentedLine1: autoDraw = True
10.8308 	EXP 	FixDot2: autoDraw = True
10.8465 	EXP 	PresentedLine1: autoDraw = False
11.0333 	EXP 	New trial (rep=0, index=5): {'image': './images_eeg/Sphere_Ref_BG-grey_stim-white.png'}
11.0871 	EXP 	Vertical: autoDraw = False
11.0871 	EXP 	PresentedLine1: autoDraw = False
11.0871 	EXP 	FixDot2: autoDraw = False
11.0871 	EXP 	PresentedLine1: image = './images_eeg/Sphere_Ref_BG-grey_stim-white.png'
11.0871 	EXP 	PresentedLine1: autoDraw = True
11.8310 	EXP 	FixDot2: autoDraw = True
11.8470 	EXP 	PresentedLine1: autoDraw = False
11.9993 	EXP 	New trial (rep=0, index=6): {'image': './images_eeg/Sphere_CW-3_BG-grey_stim-white.png'}
12.0465 	EXP 	Vertical: autoDraw = False
12.0465 	EXP 	PresentedLine1: autoDraw = False
12.0465 	EXP 	FixDot2: autoDraw = False
12.0465 	EXP 	PresentedLine1: image = './images_eeg/Sphere_CW-3_BG-grey_stim-white.png'
12.0611 	EXP 	PresentedLine1: autoDraw = True
12.8088 	EXP 	PresentedLine1: autoDraw = False
12.8250 	EXP 	FixDot2: autoDraw = True
13.0753 	EXP 	FixDot2: autoDraw = False
13.0919 	EXP 	New trial (rep=0, index=7): {'image': './images_eeg/Sphere_CCW-3_BG-grey_stim-white.png'}
13.1475 	EXP 	Vertical: autoDraw = False
13.1475 	EXP 	PresentedLine1: autoDraw = False
13.1475 	EXP 	FixDot2: autoDraw = False
13.1475 	EXP 	PresentedLine1: image = './images_eeg/Sphere_CCW-3_BG-grey_stim-white.png'
13.1475 	EXP 	PresentedLine1: autoDraw = True
13.8281 	EXP 	FixDot2: autoDraw = True
13.9032 	EXP 	PresentedLine1: autoDraw = False
14.0789 	EXP 	New trial (rep=0, index=8): {'image': './images_eeg/Sphere_CW-3_BG-grey_stim-white.png'}
14.1378 	EXP 	Vertical: autoDraw = False
14.1378 	EXP 	PresentedLine1: autoDraw = False
14.1378 	EXP 	FixDot2: autoDraw = False
14.1378 	EXP 	PresentedLine1: image = './images_eeg/Sphere_CW-3_BG-grey_stim-white.png'
14.1378 	EXP 	PresentedLine1: autoDraw = True
14.8311 	EXP 	FixDot2: autoDraw = True
14.8897 	EXP 	PresentedLine1: autoDraw = False
14.9797 	EXP 	New trial (rep=0, index=9): {'image': './images_eeg/Sphere_CW-3_BG-grey_stim-yellow.png'}
15.0349 	EXP 	Vertical: autoDraw = False
15.0349 	EXP 	PresentedLine1: autoDraw = False
15.0349 	EXP 	FixDot2: autoDraw = False
15.0349 	EXP 	PresentedLine1: image = './images_eeg/Sphere_CW-3_BG-grey_stim-yellow.png'
15.0618 	EXP 	PresentedLine1: autoDraw = True
15.8269 	EXP 	PresentedLine1: autoDraw = False
15.8269 	EXP 	FixDot2: autoDraw = True
16.0130 	EXP 	New trial (rep=0, index=10): {'image': './images_eeg/Sphere_CCW-3_BG-grey_stim-white.png'}
16.0697 	EXP 	Vertical: autoDraw = False
16.0697 	EXP 	PresentedLine1: autoDraw = False
16.0697 	EXP 	FixDot2: autoDraw = False
16.0697 	EXP 	PresentedLine1: image = './images_eeg/Sphere_CCW-3_BG-grey_stim-white.png'
16.0697 	EXP 	PresentedLine1: autoDraw = True
16.8261 	EXP 	PresentedLine1: autoDraw = False
16.8261 	EXP 	FixDot2: autoDraw = True
17.0282 	EXP 	New trial (rep=0, index=11): {'image': './images_eeg/Sphere_CW-3_BG-grey_stim-white.png'}
17.0837 	EXP 	Vertical: autoDraw = False
17.0837 	EXP 	PresentedLine1: autoDraw = False
17.0837 	EXP 	FixDot2: autoDraw = False
17.0837 	EXP 	PresentedLine1: image = './images_eeg/Sphere_CW-3_BG-grey_stim-white.png'
17.0837 	EXP 	PresentedLine1: autoDraw = True
17.8319 	EXP 	FixDot2: autoDraw = True
17.8476 	EXP 	PresentedLine1: autoDraw = False
18.0618 	EXP 	New trial (rep=0, index=12): {'image': './images_eeg/Sphere_Ref_BG-grey_stim-yellow.png'}
18.1177 	EXP 	Vertical: autoDraw = False
18.1177 	EXP 	PresentedLine1: autoDraw = False
18.1177 	EXP 	FixDot2: autoDraw = False
18.1177 	EXP 	PresentedLine1: image = './images_eeg/Sphere_Ref_BG-grey_stim-yellow.png'
18.1177 	EXP 	PresentedLine1: autoDraw = True
18.8305 	EXP 	FixDot2: autoDraw = True
18.8875 	EXP 	PresentedLine1: autoDraw = False
19.0170 	EXP 	New trial (rep=0, index=13): {'image': './images_eeg/Sphere_CCW-3_BG-grey_stim-white.png'}
19.0691 	EXP 	Vertical: autoDraw = False
19.0691 	EXP 	PresentedLine1: autoDraw = False
19.0691 	EXP 	FixDot2: autoDraw = False
19.0691 	EXP 	PresentedLine1: image = './images_eeg/Sphere_CCW-3_BG-grey_stim-white.png'
19.0691 	EXP 	PresentedLine1: autoDraw = True
19.8265 	EXP 	PresentedLine1: autoDraw = False
19.8265 	EXP 	FixDot2: autoDraw = True
19.9930 	EXP 	New trial (rep=0, index=14): {'image': './images_eeg/Sphere_Ref_BG-grey_stim-white.png'}
20.0358 	EXP 	Vertical: autoDraw = False
20.0358 	EXP 	PresentedLine1: autoDraw = False
20.0358 	EXP 	FixDot2: autoDraw = False
20.0358 	EXP 	PresentedLine1: image = './images_eeg/Sphere_Ref_BG-grey_stim-white.png'
20.0655 	EXP 	PresentedLine1: autoDraw = True
20.8264 	EXP 	PresentedLine1: autoDraw = False
20.8264 	EXP 	FixDot2: autoDraw = True
20.9979 	EXP 	New trial (rep=0, index=15): {'image': './images_eeg/Sphere_CCW-3_BG-grey_stim-yellow.png'}
21.0476 	EXP 	Vertical: autoDraw = False
21.0476 	EXP 	PresentedLine1: autoDraw = False
21.0476 	EXP 	FixDot2: autoDraw = False
21.0476 	EXP 	PresentedLine1: image = './images_eeg/Sphere_CCW-3_BG-grey_stim-yellow.png'
21.0628 	EXP 	PresentedLine1: autoDraw = True
21.8269 	EXP 	PresentedLine1: autoDraw = False
21.8269 	EXP 	FixDot2: autoDraw = True
22.0900 	EXP 	FixDot2: autoDraw = False
22.0928 	EXP 	New trial (rep=0, index=16): {'image': './images_eeg/Sphere_CW-3_BG-grey_stim-white.png'}
22.1507 	EXP 	Vertical: autoDraw = False
22.1507 	EXP 	PresentedLine1: autoDraw = False
