,rt,block
0,0.7160026620003919,main
1,0.7683122330017795,main
2,0.9556117940010154,main
3,1.0216746279984363,main
4,0.5081365139994887,control
5,0.6009691660001408,control
6,0.5689163460010604,control
7,0.6194174199990812,control
8,0.6672164149968012,main
9,0.7953978730001836,main
10,0.815071758999693,main
11,0.8048709779977798,main
12,0.43047285200009355,control
13,0.519616338002379,control
14,0.6595136830001138,control
15,0.5426471650025633,control
16,0.5720419009994657,control
17,0.5560863739992783,control
18,0.6910452009979053,control
19,0.6688204220008629,control
20,0.597147323001991,main
21,0.7763985689998663,main
22,0.6295324960010475,main
23,0.5978689450021193,control
24,0.6950831150024896,control
25,0.6098772160003136,control
26,0.6174674149988277,control
27,0.4289736129976518,control
28,0.6419839200025308,control
29,0.6108521309979551,control
30,0.43902392399832024,control
31,0.6877834530023392,main
32,0.9383578400011174,main
33,0.8048635970008036,main
34,0.6205764500009536,main
35,1.1123524270005873,main
36,0.7845831160011585,main
37,0.8032148199999938,main
38,0.44136475100094685,control
39,0.6227753549974295,control
40,0.6041567139982362,control
41,0.6360302359971683,control
42,0.6489751600020099,main
43,0.5673145539985853,main
44,0.586879983999097,control
45,0.7336810349988809,control
46,0.6236942039977293,control
47,0.6049899369972991,control
48,0.6106093809976301,control
49,0.6854079010008718,control
50,0.5727471190002689,control
51,0.5355993719967955,control
52,0.6443001519983227,control
53,0.5727461829992535,control
54,0.46682029600196984,control
55,0.45184330100164516,control
56,0.8317155340009776,main
57,0.8454198020008334,main
58,0.8685536970006069,main
59,1.140094914000656,main
