image,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,WaitingForScannerTrigger.started,Vertical.started,key_resp.started,WaitingForScannerTrigger.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,VDT.started,PresentedLine1.started,key_resp_2.started,FixDot2.started,PresentedLine1.stopped,VDT.stopped,key_resp_2.keys,key_resp_2.corr,FixDot2.stopped,key_resp_2.stopped,participant,session,run,BG_color,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,0.005413920996943489,0.012573988002259284,0.012573988002259284,28.083911734021967,s,0,28.064021783007775,None,,,,,,,,,,,sub-DDS_testrun,ses-1control,run-5,grey,2024-10-15_11h09.11.581,VDT,2023.2.3,120.5868076978726,2024-10-15 11h09.15.450354 +0200,
./images_eeg/Sphere_Ref_BG-grey_stim-white.png,0,0,0,0,28.138251299998956,,,,,,,,,,28.09388661500998,28.138251299998956,28.138251299998956,28.831324505008524,28.888527341012377,29.023470395011827,None,0,,,sub-DDS_testrun,ses-1control,run-5,grey,2024-10-15_11h09.11.581,VDT,2023.2.3,120.5868076978726,2024-10-15 11h09.15.450354 +0200,
./images_eeg/Sphere_CCW-0.75_BG-grey_stim-white.png,0,1,1,1,29.070908038003836,,,,,,,,,,29.024505387002137,29.08952105199569,29.08952105199569,29.830546578014037,29.830546578014037,30.11154707800597,None,0,30.07651071102009,30.091407305008033,sub-DDS_testrun,ses-1control,run-5,grey,2024-10-15_11h09.11.581,VDT,2023.2.3,120.5868076978726,2024-10-15 11h09.15.450354 +0200,
./images_eeg/Sphere_CCW-0.75_BG-grey_stim-white.png,0,2,2,2,30.164007126004435,,,,,,,,,,30.112288803997217,30.164007126004435,30.164007126004435,30.831035567010986,30.914333913009614,31.03266721701948,None,0,,,sub-DDS_testrun,ses-1control,run-5,grey,2024-10-15_11h09.11.581,VDT,2023.2.3,120.5868076978726,2024-10-15 11h09.15.450354 +0200,
./images_eeg/Sphere_Ref_BG-grey_stim-yellow.png,0,3,3,3,31.079040212003747,,,,,,,,,,31.033276533009484,31.090437095001107,31.090437095001107,31.84393587501836,31.84393587501836,32.05844615001115,None,0,,,sub-DDS_testrun,ses-1control,run-5,grey,2024-10-15_11h09.11.581,VDT,2023.2.3,120.5868076978726,2024-10-15 11h09.15.450354 +0200,
./images_eeg/Sphere_CW-0.75_BG-grey_stim-white.png,0,4,4,4,32.11153365499922,,,,,,,,,,32.059195684007136,32.11153365499922,32.11153365499922,32.83095487600076,32.87540616802289,33.11012630601181,None,0,33.087616609002,33.109522111015394,sub-DDS_testrun,ses-1control,run-5,grey,2024-10-15_11h09.11.581,VDT,2023.2.3,120.5868076978726,2024-10-15 11h09.15.450354 +0200,
./images_eeg/Sphere_CCW-0.75_BG-grey_stim-white.png,0,5,5,5,33.15532352801529,,,,,,,,,,33.11063754101633,33.15532352801529,33.15532352801529,33.830498376017204,33.89610099201673,34.02151718401001,None,0,,,sub-DDS_testrun,ses-1control,run-5,grey,2024-10-15_11h09.11.581,VDT,2023.2.3,120.5868076978726,2024-10-15 11h09.15.450354 +0200,
./images_eeg/Sphere_CW-0.75_BG-grey_stim-white.png,0,6,6,6,34.06740059002186,,,,,,,,,,34.02247451202129,34.07606356701581,34.07606356701581,34.828091795003274,34.82068120999611,35.01287052000407,None,0,,,sub-DDS_testrun,ses-1control,run-5,grey,2024-10-15_11h09.11.581,VDT,2023.2.3,120.5868076978726,2024-10-15 11h09.15.450354 +0200,
./images_eeg/Sphere_CCW-0.75_BG-grey_stim-yellow.png,0,7,7,7,35.06167939200532,,,,,,,,,,35.013644018006744,35.077722354006255,35.077722354006255,35.8373248570133,35.8373248570133,36.02905557199847,None,0,,,sub-DDS_testrun,ses-1control,run-5,grey,2024-10-15_11h09.11.581,VDT,2023.2.3,120.5868076978726,2024-10-15 11h09.15.450354 +0200,
./images_eeg/Sphere_CW-0.75_BG-grey_stim-white.png,0,8,8,8,36.08422942200559,,,,,,,,,,36.03016148202005,36.08422942200559,36.08422942200559,36.827396756998496,36.827396756998496,37.01297676502145,None,0,,,sub-DDS_testrun,ses-1control,run-5,grey,2024-10-15_11h09.11.581,VDT,2023.2.3,120.5868076978726,2024-10-15 11h09.15.450354 +0200,
