,rt,block
0,0.4205205440011923,control
1,0.34056191999843577,control
2,0.35761531200114405,control
3,0.3319441350031411,control
4,0.3049506209936226,control
5,0.36263691799831577,control
6,0.38516703799541574,control
7,0.37472651000280166,control
8,0.5172275760050979,main
9,0.4641391940022004,main
10,0.4162516330034123,main
11,0.4537006139944424,main
12,0.5413978969954769,main
13,0.643547605999629,main
14,0.5166518660043948,main
15,0.35129732899804367,control
16,0.3376516249991255,control
17,0.33422147399687674,control
18,0.31173106499772985,control
19,0.33829881800193107,control
20,0.32540373200026806,control
21,0.33501393500046106,control
22,0.3289291319961194,control
23,0.39123864300199784,main
24,0.4459721899984288,main
25,0.4513256790014566,main
26,0.45303490800142754,main
27,0.41614301299705403,main
28,0.6147531599999638,main
29,0.3540806189994328,control
30,0.3143939750007121,control
31,0.3263061980032944,control
32,0.3457890249992488,control
33,0.4016232249996392,control
34,0.31923156699485844,control
35,0.3602897500022664,control
36,0.3504585179980495,control
37,0.36850509500072803,main
38,0.6142655820003711,main
39,0.44880887400358915,main
40,0.629272727004718,main
41,0.46244247700087726,main
42,0.3536479969989159,main
43,0.40565061799861724,main
44,0.7794694299955154,main
45,0.6661776260007173,main
46,0.4964025919980486,main
47,0.3090226799977245,control
48,0.2914941130002262,control
49,0.32669156300107716,control
50,0.40463739699771395,control
51,0.4196547199971974,main
52,0.49403718899702653,main
53,0.6991568199955509,main
54,0.32968746699771145,control
55,0.3355193160023191,control
56,0.31230360599874984,control
57,0.35798289699596353,control
58,0.3231089359978796,control
59,0.33070007099740906,control
60,0.33392723099677823,control
61,0.40735686600237386,control
62,0.5087332840048475,main
63,0.5072557349994895,main
64,0.4187323779988219,main
65,0.4731380990051548,main
