,rt,block
0,0.5170491809985833,control
1,0.4344561670004623,control
2,0.479344505998597,control
3,0.5250757079993491,control
4,0.7343712709989632,main
5,0.5667246240009263,main
6,0.655989810002211,main
7,0.8387948800009326,main
8,0.6027803270008008,main
9,0.7819652420002967,main
10,0.5090927259989257,control
11,0.4796711309973034,control
12,0.47102696300134994,control
13,0.44097977499768604,control
14,0.6263719910020882,main
15,1.0701508650017786,main
16,0.46645138500025496,control
17,0.5397564660015632,control
18,0.526123703999474,control
19,0.5636363819976395,control
20,0.4868076419988938,control
21,0.48592370199912693,control
22,0.4949410160006664,control
23,0.5420346270002483,control
24,0.5109712749981554,control
25,0.5584296510023705,control
26,0.41388646099949256,control
27,0.4833107790000213,control
28,0.6348153129983984,main
29,0.607207996003126,control
30,0.42126419600026566,control
31,0.49093593300131033,control
32,0.5361898409973946,control
33,0.6717382850001741,main
34,0.47589500500180293,control
35,0.4589651900023455,control
36,0.413055795001128,control
37,0.44587010699979146,control
38,1.0969256759999553,main
39,0.9931407339972793,main
40,0.48600495099890395,control
41,0.47125800600042567,control
42,0.5738445839997439,control
43,0.516153631000634,control
44,0.5822806369978935,control
45,0.5425521640027,control
46,0.5545967129983183,control
47,0.4792249999991327,control
