,block,TN,TP,FP,FN,ACC,SENS,SPEC,Balanced_ACC,RT
0,main,105.0,12.0,21.0,24.0,72.22,33.33,83.33,58.33,0.7728140848336503
1,control,126.0,36.0,0.0,0.0,100.0,100.0,100.0,100.0,0.49956302766653
