,rt,block
0,0.6175153259828221,control
1,0.558558427990647,control
2,0.5896347499801777,control
3,0.6324698269891087,control
4,0.626331911975285,control
5,0.6563349640055094,control
6,0.5878735269943718,control
7,0.6348938629962504,control
8,0.881758486997569,main
9,0.5600204709917307,main
10,0.6766827329993248,main
11,0.9082870190031826,main
12,0.8003306729951873,main
13,0.8388419290131424,main
14,0.6694364300055895,main
15,0.7329871869878843,main
16,0.5617265790060628,control
17,0.4709761870035436,control
18,0.764001833013026,control
19,0.6649204490240663,control
20,0.5309858609980438,control
21,0.6002419500146061,control
22,0.669981502025621,control
23,0.7015420150128193,control
24,0.817953028017655,main
25,0.853468190995045,main
26,0.8275660880026408,main
27,0.6661947339889593,main
28,0.7594849170127418,main
29,0.8280614480026998,main
30,0.9079315900162328,main
31,0.8310917249764316,main
32,0.6096289610140957,control
33,0.8275031970115378,control
34,0.6026597339950968,control
35,0.646030869014794,control
36,0.6860327850154135,control
37,0.7481167440128047,control
38,0.6951622490014415,control
39,0.7511797079932876,control
40,0.7221192420111038,main
41,0.7768504499981645,main
42,0.7087118180061225,main
43,0.8514855100074783,main
44,0.7318907470034901,main
45,1.0409087949956302,main
46,0.6817001489980612,main
47,0.8844807200075593,main
48,0.6694224439852405,main
49,0.8163763250049669,main
50,0.48509775300044566,control
51,0.6990676580171566,control
52,0.8119821209984366,control
53,0.87556103701354,control
54,0.6860479489841964,main
55,0.7793106010067277,main
56,0.7452291009831242,main
57,0.7086806790030096,control
58,0.8149848479952198,control
59,0.9427095989813097,control
60,0.6861025139805861,control
61,0.5798607160104439,control
62,0.901418844005093,control
63,0.6774970020051114,control
64,0.6429264960170258,control
65,1.1665665929904208,main
66,0.8281163929786999,main
67,0.8405050580040552,main
68,0.641358433989808,main
69,0.6293257520010229,control
70,0.670365188998403,control
71,0.7255512239935342,control
72,0.6068112380162347,control
73,0.7619206509843934,main
74,0.6968130719906185,main
75,0.7375002059852704,main
